2024-08-14 09:22:19.803 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:22:21.711 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:22:21.717 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:23:07.032 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:23:07.061 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:23:11.763 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:23:11.769 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:23:17.424 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:23:17.432 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:23:41.271 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:23:41.292 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:25:15.750 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:25:15.765 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:25:20.576 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:25:20.582 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:25:23.392 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:25:23.399 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:26:30.720 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:26:30.729 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:26:46.169 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:26:46.185 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:27:06.849 +05:30 [INF] GetUsers called with id: 2
2024-08-14 09:27:06.850 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:27:06.913 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:27:09.155 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:27:09.162 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: CS
2024-08-14 09:27:09.165 +05:30 [INF] Employees retrieved successfully for departmentId: CS
2024-08-14 09:27:09.165 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:27:27.097 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:27:27.115 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:15.002 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:15.024 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:20.723 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:20.731 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:25.179 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:25.187 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:31.354 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:31.362 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:34.359 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:34.364 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:35.593 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:35.599 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:42.439 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:42.444 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:49.264 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:49.276 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:28:58.408 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:28:58.419 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:03.661 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:03.668 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:06.981 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:06.987 +05:30 [INF] Departments retrieved successfully for employeeId: 2
